"Laiko žymė","1. Darbas su programavimo uždaviniais padėjo mokytis mokiniams","2. Programavimo uždavinių grįžtamasis ryšis padėjo mokytis mokiniams","3. Programavimo uždavinių pateikimas ir interakcijos padėjo mokytis mokiniams","4. Programavimo aplinka ir uždaviniai padėjo įgyti mokiniams naujų žinių","5. Apskritai, programavimo aplinka ir uždaviniai padėjo mokiniams mokytis","6. Programuojant uždavinius, esamos pagalbos funkcijos buvo naudingos","7. Programuojant uždavinius, programos nurodymai buvo lengvai įvykdomi","8. Programavimo uždavinių aplinka buvo paprasta naudotis","9. Programavimo uždaviniai buvo tinkamai organizuoti","10. Man patiko bendras programavimo uždavinių apiforminimas","11. Pateiktų uždavinių programavimas atrodė įtraukiantis","12. Su šia programavimo aplinka mokiniams mokytis buvo smagu","13. Norėčiau toliau naudoti šią programavimo aplinką","1. Manau, kad šia programavimo uždavinių aplinka norėčiau dažnai naudotis","2. Man programavimo uždavinių aplinka atrodo bereikalingai sudėtinga","3. Manau, kad šia programavimo aplinka buvo lengva naudotis","4. Manau, kad man reiktų techniko pagalbos, kad galėčiau naudotis šia programavimo aplinka","5. Man atrodo, kad įvairios aplinkos funkcijos buvo gerai integruotos","6. Man atrodo, kad programavimo aplinkoje buvo per daug nenuoseklumų.","7. Įsivaiduoju, kad daugelis žmonių greitai išmoktų naudotis šia sistema","8. Programavimo aplinka man atrodė sunkiai ir nepatogiai naudojama","9. Aš jaučiausi užtikrintai naudojant šią aplinką","10. Man reikia įgyti daugiau žinių, kad galėčiau pradėti naudotis šia programavimo aplinka","Programavimo uždaviniai apima mokyklos kursą","Mano subjektyvia nuomone, programinis kodas duotiems uždaviniams veikia pakankamai greitai","Yra neatitikimų tarp ""tikrosios"" C++ kalbos ir šios realizacijos","Klaidų pranešimai (be DI pagalbos) pakankamai informatyvūs","Manau, kad aplinkos dirbtinio intelekto pagalba, paaiškinanti mokinio klaidas yra reikalinga","Aplinkos dirbtinio intelekto klaidų paaiškinimai yra tinkami","Manau, kad dirbtinio intelekto kodo pataisymo funkcija yra reikalinga","Manau, kad aplinkos dirbtinio intelekto kodo kokybės įvertinimo funkcija yra reikalinga","Manau, kad kodo kokybės įvertinimas yra informatyvus ir tinkamas ","Jei norite kažką pridurti aplinkos kūrėjams, pasidalinti problemomis ar pasiūlyti patobulinimus - rašykite čia :) "
"2025/05/15 3:05:08 popiet GMT+3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1","5","1","5","1","5","1","5","1","10","Taip","1","5","Taip","5","Taip","Taip","5","Labai puikus dalykas"
"2025/05/16 9:08:50 priešpiet GMT+3","4","4","5","5","5","4","3","4","4","5","4","4","5","5","1","4","2","4","2","4","2","4","4","8","Taip","2","3","Taip","4","Taip","Taip","3",""
"2025/05/16 9:14:32 priešpiet GMT+3","4","4","4","4","4","4","4","4","3","3","3","4","4","4","1","4","1","4","2","5","1","5","1","8","Taip","0","5","Taip","4","Taip","Taip","5","Vystymo darbus reikia tęsti, įtraukiant į oficialias mokyklų  programas"
"2025/05/16 9:28:17 priešpiet GMT+3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","9","Taip","0","5","Taip","5","Taip","Taip","5",""
"2025/05/16 9:28:52 priešpiet GMT+3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1","3","3","4","3","4","2","4","3","8","Taip","2","4","Taip","5","Taip","Taip","5",""
"2025/05/16 9:46:18 priešpiet GMT+3","4","4","4","4","4","5","3","4","3","5","4","4","5","5","1","5","1","5","1","5","1","5","1","7","Taip","0","5","Taip","4","Taip","Taip","5","Norėtųsi daugiau uždavinių, ypač uždavinių su * (stipresniems mokiniams) ir labai paprastų (silpniausiems mokiniams), kai kuriuose temose pasitikrinimo testus reiktų patobulinti."
"2025/05/16 10:41:43 priešpiet GMT+3","5","5","5","5","5","4","4","5","3","5","3","2","5","5","1","5","1","3","4","5","1","5","1","8","Taip","0","3","Taip","3","Ne","Taip","4","Klausime ""Mano subjektyvia nuomone, programinis kodas duotiems uždaviniams veikia pakankamai greitai"" nėra tarpino varianto: ""Yra kur neveikia ar veikia neteisingai"""
"2025/05/16 11:19:53 priešpiet GMT+3","4","1","2","5","4","1","1","2","4","3","4","4","5","4","1","3","2","2","2","3","3","4","4","8","Taip","3","0","Taip","2","Taip","Taip","3",""
"2025/05/16 12:35:45 popiet GMT+3","5","5","5","5","5","5","4","5","4","5","4","4","5","4","2","5","1","5","1","4","1","5","1","9","Taip","0","3","Taip","3","Taip","Taip","3",""
"2025/05/16 12:40:25 popiet GMT+3","3","4","4","4","4","4","4","4","3","4","4","4","5","5","1","4","2","4","3","4","1","5","1","8","Taip","0","5","Taip","4","Ne","Ne","4",""
"2025/05/16 3:19:57 popiet GMT+3","5","5","5","5","5","5","4","5","5","4","4","5","5","5","2","4","4","4","2","4","1","4","2","9","Taip","1","4","Ne","3","Ne","Ne","4",""
"2025/05/16 8:28:36 popiet GMT+3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1","5","1","5","1","5","1","5","1","10","Taip","0","4","Taip","4","Taip","Taip","5",""
"2025/05/16 10:54:12 popiet GMT+3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1","5","1","5","1","5","1","5","1","10","Taip","3","5","Taip","5","Taip","Taip","5",""