"Laiko žymė","1. Darbas su mokymosi objektu man padėjo mokytis / Working with the learning object helped me learn","2. Mokymosi objekto grįžtamasis ryšis man padėjo mokytis / The feedback from the learning object helped me learn","3. Mokymosi objekto vaizdiniai ir animacijos man padėjo mokytis / The graphics and animations from the learning object helped me learn","4. Mokymosi objektas man padėjo įgyti naujų žinių / The learning object helped teach me a new concept","5. Apskritai, mokymosi objektas man padėjo mokytis / Overall, the learning object helped me learn","6. Mokymosi objekto pagalbos funkcijos buvo naudingos / The help features in the learning object were useful","7. Mokymosi objekto nurodymai buvo lengvai vykdomi / The instructions in the learning object were easy to follow","8. Mokymosi objektu buvo paprasta naudotis / The learning object was easy to use","9. Mokymosi objektas buvo tinkamai parengtas / The learning object was well organized","10. Man patiko bendra mokymosi objekto tema / I liked the overall theme of the learning object","11. Mokymosi objektas man atrodė įtraukiantis / I found the learning object engaging","12. Su mokymosi objektu mokytis buvo įdomu / The learning object made learning fun","13. Norėčiau dar kartą panaudoti mokymosi objektą / I would like to use the learning object again","1. Manau, kad šia sistema norėčiau dažnai naudotis / I think that I would like to use this system frequently.","2. Man sistema atrodo bereikalingai sudėtinga / I found the system unnecessarily complex.","3. Manau, kad šia sistema buvo lengva naudotis / I thought the system was easy to use.","4. Manau, kad man reiktų sistemos techniko pagalbos, kad galėčiau naudotis šia sistema / I think that I would need the support of a technical person to be able to use this system.","5. Man atrodo, kad įvairios sistemos funkcijos buvo gerai integruotos / I found the various functions in this system were well integrated.","6. Man atrodo, kad sistemoje buvo per daug nenuoseklumų / I thought there was too much inconsistency in this system.","7. Įsivaiduoju, kad daugelis žmonių greitai išmoktų naudotis šia sistema / I would imagine that most people would learn to use this system very quickly.","8. Sistema man atrodė sunkiai ir nepatogiai naudojama / I found the system very cumbersome to use.","9. Aš jaučiausi užtikrintai naudojant šią sistemą / I felt very confident using the system.","10. Man reikia įgyti daugiau žinių, kad galėčiau pradėti naudotis šia sistema / I needed to learn a lot of things before I could get going with this system."
"2025/05/16 3:05:41 popiet GMT+3","4","5","5","4","5","5","5","5","5","5","5","5","4","4","1","5","1","5","1","5","1","5","1"
"2025/05/16 3:11:10 popiet GMT+3","3","4","5","3","4","4","4","5","4","4","3","5","5","4","2","4","1","4","2","4","2","4","1"
"2025/05/16 3:14:21 popiet GMT+3","4","4","4","4","4","4","4","4","4","4","4","4","4","3","2","4","1","4","1","4","1","5","1"
"2025/05/16 3:16:39 popiet GMT+3","4","3","4","4","3","2","4","4","2","4","2","3","4","4","2","4","1","2","3","4","2","2","2"
"2025/05/16 3:18:05 popiet GMT+3","5","4","5","4","5","5","5","5","5","5","5","4","5","5","1","5","1","5","1","4","1","4","1"
"2025/05/16 3:20:04 popiet GMT+3","5","4","5","5","5","3","5","4","5","5","5","5","5","4","2","5","2","3","2","4","4","4","3"
"2025/05/16 3:22:45 popiet GMT+3","4","3","4","4","3","4","4","2","2","4","3","3","4","4","3","4","1","2","4","5","4","4","4"
"2025/05/16 3:30:45 popiet GMT+3","4","4","4","5","4","4","4","4","4","4","3","4","5","4","2","4","2","4","2","4","1","4","1"
"2025/05/16 3:37:11 popiet GMT+3","5","5","4","5","4","5","4","5","4","3","5","5","4","4","2","4","1","3","2","5","3","3","2"
"2025/05/16 3:53:20 popiet GMT+3","1","1","1","1","1","2","4","4","3","1","1","1","1","1","3","3","1","2","3","3","3","1","1"
"2025/05/17 12:36:46 popiet GMT+3","4","4","4","4","4","5","3","4","5","4","4","4","4","5","3","3","1","3","4","4","3","3","3"
"2025/05/17 12:39:13 popiet GMT+3","5","5","5","5","4","5","4","4","3","1","3","3","4","2","3","2","2","3","4","5","4","3","3"
"2025/05/17 12:40:09 popiet GMT+3","4","3","4","3","4","3","4","3","2","4","2","4","4","4","3","2","4","3","2","4","4","3","3"
"2025/05/17 12:41:24 popiet GMT+3","5","5","5","5","2","3","4","4","2","2","3","4","4","4","2","3","1","2","3","3","5","3","2"
"2025/05/17 12:43:50 popiet GMT+3","3","5","4","4","4","2","2","3","2","5","4","4","5","1","2","3","2","3","5","3","1","3","5"
"2025/05/17 12:45:59 popiet GMT+3","5","5","5","5","3","5","5","5","3","1","5","5","5","5","2","5","1","3","2","5","4","3","2"
"2025/05/17 12:47:05 popiet GMT+3","4","3","4","3","4","4","4","3","4","4","4","4","4","4","1","3","2","4","2","4","4","5","1"
"2025/05/17 12:48:04 popiet GMT+3","4","5","4","4","5","4","5","4","3","5","4","5","3","5","1","5","2","5","3","2","3","5","1"
"2025/05/17 12:49:02 popiet GMT+3","5","3","5","5","4","5","4","3","4","5","5","4","3","1","5","1","3","2","5","1","5","3","3"
"2025/05/17 12:50:21 popiet GMT+3","4","2","1","2","3","2","2","1","2","5","2","2","1","2","4","2","1","1","3","4","5","2","1"
"2025/05/17 12:51:26 popiet GMT+3","4","2","4","4","4","3","4","4","5","5","4","5","4","5","1","4","1","3","3","5","3","3","1"
"2025/05/17 12:51:56 popiet GMT+3","5","5","5","4","4","4","3","4","3","5","4","3","4","3","3","4","1","4","2","3","3","4","1"
"2025/05/17 12:53:44 popiet GMT+3","4","3","5","5","5","5","5","5","5","1","5","5","5","3","1","5","1","4","2","5","2","3","2"
"2025/05/17 12:57:29 popiet GMT+3","1","5","3","5","4","5","5","4","5","5","5","5","5","2","1","5","2","3","2","3","5","4","4"
"2025/05/17 1:13:42 popiet GMT+3","4","4","3","5","4","5","5","5","5","5","4","5","4","4","1","4","1","4","1","4","1","4","1"
"2025/05/17 1:16:54 popiet GMT+3","5","5","3","4","5","5","5","5","5","5","5","5","5","5","1","5","1","5","1","4","1","4","1"
"2025/05/17 1:18:51 popiet GMT+3","5","5","5","5","5","5","5","4","5","4","5","5","5","5","1","5","1","5","1","5","1","5","1"
"2025/05/17 1:40:27 popiet GMT+3","4","2","4","3","4","5","5","5","5","4","5","4","4","4","1","5","1","5","1","5","1","5","1"